ticker,side,entry_date,exit_date,entry_price,exit_price,stop_price,take_profit_price,hold_days,exit_reason,trade_return_pct,weighted_return_pct,run_id
AAPL,long,2022-04-06,2022-04-25,168.8757,155.3656,155.3656,194.207,13,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
AAPL,long,2022-08-01,2022-09-12,157.9869,160.5842,145.348,181.6849,30,max_hold,1.644,0.1644,RUN_20260317T112829Z
AAPL,long,2023-02-06,2023-03-20,150.162,155.1523,138.149,172.6863,30,max_hold,3.3233,0.3323,RUN_20260317T112829Z
AAPL,long,2023-03-22,2023-05-03,157.0252,165.0588,144.4632,180.5789,30,max_hold,5.1161,0.5116,RUN_20260317T112829Z
AAPL,long,2023-05-05,2023-06-16,168.5383,182.5314,155.0553,193.8191,30,max_hold,8.3026,0.8303,RUN_20260317T112829Z
AAPL,long,2023-06-21,2023-08-02,182.5116,190.0925,167.9107,209.8884,30,max_hold,4.1536,0.4154,RUN_20260317T112829Z
AAPL,long,2023-11-15,2023-12-28,185.9186,191.5897,171.0451,213.8064,30,max_hold,3.0503,0.305,RUN_20260317T112829Z
AAPL,long,2024-05-14,2024-06-12,186.0709,213.9816,171.1852,213.9816,21,take_profit,15.0,1.5,RUN_20260317T112829Z
AAPL,long,2024-06-14,2024-07-29,212.2088,216.5651,195.2321,244.0401,30,max_hold,2.0528,0.2053,RUN_20260317T112829Z
AAPL,long,2024-08-14,2024-09-25,219.1305,224.8927,201.6001,252.0001,30,max_hold,2.6296,0.263,RUN_20260317T112829Z
AAPL,long,2024-09-27,2024-11-07,226.969,225.9955,208.8115,261.0144,30,max_hold,-0.429,-0.0429,RUN_20260317T112829Z
AAPL,long,2024-11-19,2025-01-02,225.7468,242.5252,207.6871,259.6088,30,max_hold,7.4324,0.7432,RUN_20260317T112829Z
AAPL,long,2025-07-14,2025-08-22,209.2931,227.3267,192.5497,240.6871,30,max_hold,8.6164,0.8616,RUN_20260317T112829Z
AAPL,long,2025-08-26,2025-10-07,226.4384,255.9921,208.3233,260.4042,30,max_hold,13.0515,1.3052,RUN_20260317T112829Z
AAPL,long,2025-10-09,2025-11-19,257.3195,268.3089,236.734,295.9175,30,max_hold,4.2707,0.4271,RUN_20260317T112829Z
AAPL,long,2025-11-24,2026-01-07,270.6468,260.0866,248.995,311.2438,30,max_hold,-3.9018,-0.3902,RUN_20260317T112829Z
MSFT,long,2022-04-05,2022-04-11,303.0497,278.8058,278.8058,348.5072,5,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
MSFT,long,2022-08-04,2022-09-01,273.2413,251.382,251.382,314.2275,21,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
MSFT,long,2022-12-01,2023-01-04,247.3773,227.5872,227.5872,284.4839,23,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
MSFT,long,2023-02-08,2023-02-22,266.213,244.916,244.916,306.145,10,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
MSFT,long,2023-03-15,2023-04-26,253.9656,292.0604,233.6483,292.0604,30,take_profit,15.0,1.5,RUN_20260317T112829Z
MSFT,long,2023-04-28,2023-06-09,296.977,319.9279,273.2189,341.5236,30,max_hold,7.7282,0.7728,RUN_20260317T112829Z
MSFT,long,2023-06-13,2023-07-26,327.4466,330.6772,301.2509,376.5636,30,max_hold,0.9866,0.0987,RUN_20260317T112829Z
MSFT,long,2023-10-26,2023-12-07,334.095,364.6681,307.3674,384.2093,30,max_hold,9.151,0.9151,RUN_20260317T112829Z
MSFT,long,2023-12-11,2024-01-24,362.24,395.7428,333.2608,416.576,30,max_hold,9.2488,0.9249,RUN_20260317T112829Z
MSFT,long,2024-01-26,2024-03-08,397.5222,400.0793,365.7204,457.1505,30,max_hold,0.6433,0.0643,RUN_20260317T112829Z
MSFT,long,2024-03-13,2024-04-24,411.7797,402.8764,378.8373,473.5467,30,max_hold,-2.1622,-0.2162,RUN_20260317T112829Z
MSFT,long,2024-05-30,2024-07-12,418.6397,447.4995,385.1485,481.4356,30,max_hold,6.8937,0.6894,RUN_20260317T112829Z
MSFT,long,2024-12-04,2025-01-17,428.8801,424.9185,394.5697,493.2122,30,max_hold,-0.9237,-0.0924,RUN_20260317T112829Z
MSFT,long,2025-05-07,2025-06-18,430.5439,477.4663,396.1004,495.1255,30,max_hold,10.8984,1.0898,RUN_20260317T112829Z
MSFT,long,2025-06-23,2025-07-31,475.4481,546.7653,437.4122,546.7653,28,take_profit,15.0,1.5,RUN_20260317T112829Z
MSFT,long,2025-08-04,2025-09-15,525.219,513.2258,483.2015,604.0019,30,max_hold,-2.2835,-0.2283,RUN_20260317T112829Z
MSFT,long,2025-10-09,2025-11-19,520.1769,485.1028,478.5628,598.2035,30,max_hold,-6.7427,-0.6743,RUN_20260317T112829Z
NVDA,long,2022-08-05,2022-08-08,18.7798,17.2774,17.2774,21.5968,2,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
NVDA,long,2022-08-11,2022-08-26,18.1019,16.6537,16.6537,20.8172,12,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
NVDA,long,2022-11-23,2022-12-13,16.0769,18.4885,14.7908,18.4885,14,take_profit,15.0,1.5,RUN_20260317T112829Z
NVDA,long,2022-12-15,2022-12-22,17.1279,15.7577,15.7577,19.6971,6,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
NVDA,long,2023-01-11,2023-01-23,15.8233,18.1968,14.5574,18.1968,8,take_profit,15.0,1.5,RUN_20260317T112829Z
NVDA,long,2023-01-27,2023-02-08,19.4415,22.3577,17.8862,22.3577,9,take_profit,15.0,1.5,RUN_20260317T112829Z
NVDA,long,2023-02-10,2023-03-16,21.6671,24.9172,19.9338,24.9172,24,take_profit,15.0,1.5,RUN_20260317T112829Z
NVDA,long,2023-03-20,2023-05-01,25.5923,28.8844,23.545,29.4312,30,max_hold,12.8636,1.2864,RUN_20260317T112829Z
NVDA,long,2023-05-03,2023-05-25,27.8154,31.9877,25.5901,31.9877,17,take_profit,15.0,1.5,RUN_20260317T112829Z
NVDA,long,2023-05-30,2023-07-12,40.5591,43.8677,37.3144,46.643,30,max_hold,8.1575,0.8158,RUN_20260317T112829Z
NVDA,long,2023-07-14,2023-08-09,46.5466,42.8229,42.8229,53.5286,19,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
NVDA,long,2023-08-22,2023-09-15,48.0974,44.2496,44.2496,55.312,18,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
NVDA,long,2023-11-16,2023-12-29,48.645,49.4917,44.7534,55.9417,30,max_hold,1.7407,0.1741,RUN_20260317T112829Z
NVDA,long,2024-01-03,2024-01-11,47.456,54.5744,43.6595,54.5744,7,take_profit,15.0,1.5,RUN_20260317T112829Z
NVDA,long,2024-01-16,2024-01-30,54.9844,63.2321,50.5856,63.2321,11,take_profit,15.0,1.5,RUN_20260317T112829Z
NVDA,long,2024-02-01,2024-02-09,62.0621,71.3714,57.0971,71.3714,7,take_profit,15.0,1.5,RUN_20260317T112829Z
NVDA,long,2024-02-13,2024-02-23,70.357,80.9106,64.7285,80.9106,8,take_profit,15.0,1.5,RUN_20260317T112829Z
NVDA,long,2024-02-27,2024-03-07,79.3325,91.2324,72.9859,91.2324,8,take_profit,15.0,1.5,RUN_20260317T112829Z
NVDA,long,2024-03-11,2024-04-19,86.3802,79.4698,79.4698,99.3373,29,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
NVDA,long,2024-04-29,2024-05-23,87.5456,100.6774,80.5419,100.6774,19,take_profit,15.0,1.5,RUN_20260317T112829Z
NVDA,long,2024-05-28,2024-06-12,110.1818,126.7091,101.3673,126.7091,12,take_profit,15.0,1.5,RUN_20260317T112829Z
NVDA,long,2024-06-14,2024-06-24,129.8974,119.5056,119.5056,149.382,6,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
NVDA,long,2024-06-26,2024-07-24,126.0692,115.9837,115.9837,144.9796,20,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
NVDA,long,2024-10-09,2024-11-19,134.0568,146.9517,123.3323,154.1654,30,max_hold,9.619,0.9619,RUN_20260317T112829Z
NVDA,long,2024-11-21,2024-11-25,149.2908,137.3475,137.3475,171.6844,3,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
NVDA,long,2024-12-05,2024-12-13,145.0625,133.4575,133.4575,166.8219,7,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
NVDA,long,2025-05-20,2025-06-25,134.2583,154.3971,123.5177,154.3971,25,take_profit,15.0,1.5,RUN_20260317T112829Z
NVDA,long,2025-06-27,2025-07-30,156.0141,179.4162,143.5329,179.4162,23,take_profit,15.0,1.5,RUN_20260317T112829Z
NVDA,long,2025-08-01,2025-09-12,174.0611,177.8005,160.1362,200.1702,30,max_hold,2.1483,0.2148,RUN_20260317T112829Z
NVDA,long,2025-09-16,2025-10-27,176.9806,191.469,162.8221,203.5277,30,max_hold,8.1864,0.8186,RUN_20260317T112829Z
NVDA,long,2025-10-29,2025-11-06,207.9572,191.3206,191.3206,239.1507,7,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
NVDA,long,2025-11-11,2025-11-21,195.1386,179.5275,179.5275,224.4094,9,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
NVDA,long,2026-01-16,2026-02-04,189.0698,173.9442,173.9442,217.4302,13,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
NVDA,long,2026-02-12,2026-02-27,193.0196,177.578,177.578,221.9725,11,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
AMZN,long,2022-04-05,2022-04-08,167.7415,154.3222,154.3222,192.9027,4,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
AMZN,long,2022-08-01,2022-09-01,134.96,124.1632,124.1632,155.204,24,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
AMZN,long,2022-09-13,2022-09-21,131.01,120.5292,120.5292,150.6615,7,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
AMZN,long,2023-01-31,2023-02-24,101.16,93.0672,93.0672,116.334,18,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
AMZN,long,2023-04-06,2023-05-18,100.75,115.8625,92.69,115.8625,30,take_profit,15.0,1.5,RUN_20260317T112829Z
AMZN,long,2023-05-22,2023-07-05,116.77,130.38,107.4284,134.2855,30,max_hold,11.6554,1.1655,RUN_20260317T112829Z
AMZN,long,2023-07-07,2023-08-17,128.59,133.98,118.3028,147.8785,30,max_hold,4.1916,0.4192,RUN_20260317T112829Z
AMZN,long,2023-08-22,2023-09-27,135.08,124.2736,124.2736,155.342,26,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
AMZN,long,2023-11-14,2023-12-27,145.0,153.34,133.4,166.75,30,max_hold,5.7517,0.5752,RUN_20260317T112829Z
AMZN,long,2023-12-29,2024-02-12,153.1,172.34,140.852,176.065,30,max_hold,12.5669,1.2567,RUN_20260317T112829Z
AMZN,long,2024-02-14,2024-03-27,169.21,179.83,155.6732,194.5915,30,max_hold,6.2762,0.6276,RUN_20260317T112829Z
AMZN,long,2024-04-01,2024-04-25,180.79,166.3268,166.3268,207.9085,19,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
AMZN,long,2024-05-03,2024-06-14,186.99,183.66,172.0308,215.0385,30,max_hold,-1.7808,-0.1781,RUN_20260317T112829Z
AMZN,long,2024-06-24,2024-08-02,189.33,174.1836,174.1836,217.7295,29,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
AMZN,long,2024-09-20,2024-10-31,190.23,186.4,175.0116,218.7645,30,max_hold,-2.0134,-0.2013,RUN_20260317T112829Z
AMZN,long,2024-11-04,2024-12-06,196.45,225.9175,180.734,225.9175,24,take_profit,15.0,1.5,RUN_20260317T112829Z
AMZN,long,2024-12-10,2025-01-24,226.09,234.85,208.0028,260.0035,30,max_hold,3.8746,0.3875,RUN_20260317T112829Z
AMZN,long,2025-01-28,2025-02-21,234.29,215.5468,215.5468,269.4335,18,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
