ticker,name,latest_close,ma20,high_20,high_50,latest_volume,avg_volume_20,volume_ratio,rsi_14,atr_14,atr_pct,within_2pct_of_20d_high,within_5pct_of_50d_high,above_ma20,elevated_volume,rsi_bullish,atr_reasonable,confirmed_breakout,breakout_ready,pre_breakout,breakout_type,setup_score,setup_status,checked_at,market_regime,adjusted_setup_score,adjusted_setup_status,extension_pct,high_atr_risk,overextended,low_liquidity,risk_flag_count,risk_decision,risk_notes,checked_at_risk
CVX,Chevron,197.51,188.08,197.51,197.51,5962658,11829987,0.5,70.79,4.19,2.12,True,True,True,False,True,True,False,True,True,breakout_ready,5,actionable,2026-03-16T18:25:52.427839+00:00,risk_off,4,watch,5.01,False,False,False,0,approved,clear,2026-03-16T18:26:12.620904+00:00
VZ,Verizon,51.22,50.1,51.38,51.38,11620106,24958630,0.47,62.14,0.95,1.85,True,True,True,False,True,True,False,True,True,breakout_ready,5,actionable,2026-03-16T18:25:55.042122+00:00,risk_off,4,watch,2.24,False,False,False,0,approved,clear,2026-03-16T18:26:12.620904+00:00
XOM,Exxon Mobil,157.32,151.01,157.32,157.32,10400952,20704027,0.5,66.48,4.09,2.6,True,True,True,False,True,True,False,True,True,breakout_ready,5,actionable,2026-03-16T18:25:55.439800+00:00,risk_off,4,watch,4.18,False,False,False,0,approved,clear,2026-03-16T18:26:12.620904+00:00
COST,Costco,1001.7,998.21,1012.05,1018.48,670240,1888592,0.35,51.23,19.59,1.96,True,True,True,False,False,True,False,True,True,breakout_ready,4,watch,2026-03-16T18:25:55.830071+00:00,risk_off,3,watch,0.35,False,False,False,0,approved,clear,2026-03-16T18:26:12.620904+00:00
DDOG,Datadog,126.48,118.65,128.56,141.45,2197613,5305860,0.41,72.21,6.31,4.99,True,False,True,False,True,True,False,True,False,breakout_ready,4,watch,2026-03-16T18:26:04.971130+00:00,risk_off,3,watch,6.6,False,False,False,0,approved,clear,2026-03-16T18:26:12.620904+00:00
NFLX,Netflix,95.1,89.74,99.17,99.17,20392506,52491900,0.39,81.36,3.36,3.53,False,True,True,False,True,True,False,False,True,pre_breakout,4,watch,2026-03-16T18:25:53.122264+00:00,risk_off,3,watch,5.97,False,False,False,0,approved,clear,2026-03-16T18:26:12.620904+00:00
PANW,Palo Alto Networks,166.99,156.76,168.12,193.9,2902430,12161106,0.24,92.41,5.38,3.22,True,False,True,False,True,True,False,True,False,breakout_ready,4,watch,2026-03-16T18:26:11.521522+00:00,risk_off,3,watch,6.53,False,False,False,0,approved,clear,2026-03-16T18:26:12.620904+00:00
RTX,RTX,206.38,204.54,212.16,212.16,2518626,7007626,0.36,58.25,6.09,2.95,False,True,True,False,True,True,False,False,True,pre_breakout,4,watch,2026-03-16T18:25:53.898736+00:00,risk_off,3,watch,0.9,False,False,False,0,approved,clear,2026-03-16T18:26:12.620904+00:00
SBUX,Starbucks,98.47,97.89,101.44,101.44,3671763,7794388,0.47,59.16,2.5,2.54,False,True,True,False,True,True,False,False,True,pre_breakout,4,watch,2026-03-16T18:25:54.275547+00:00,risk_off,3,watch,0.59,False,False,False,0,approved,clear,2026-03-16T18:26:12.620904+00:00
UNH,UnitedHealth,287.17,284.85,292.65,353.51,3147600,7488670,0.42,62.86,8.17,2.85,True,False,True,False,True,True,False,True,False,breakout_ready,4,watch,2026-03-16T18:26:12.589451+00:00,risk_off,3,watch,0.81,False,False,False,0,approved,clear,2026-03-16T18:26:12.620904+00:00
