ticker,name,latest_close,ma20,high_20,high_50,latest_volume,avg_volume_20,volume_ratio,rsi_14,atr_14,atr_pct,within_2pct_of_20d_high,within_5pct_of_50d_high,above_ma20,elevated_volume,rsi_bullish,atr_reasonable,confirmed_breakout,breakout_ready,pre_breakout,breakout_type,setup_score,setup_status,checked_at,market_regime,adjusted_setup_score,adjusted_setup_status,extension_pct,high_atr_risk,overextended,low_liquidity,risk_flag_count,risk_decision,risk_notes,checked_at_risk
AMAT,Applied Materials,357.06,356.2,394.95,394.95,16721683,7083884,2.36,44.02,15.91,4.46,False,False,True,True,False,True,False,False,False,weak,3,watch,2026-03-23T11:58:36.167841+00:00,risk_off,2,weak,0.24,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
BKNG,Booking Holdings,4324.04,4279.29,4602.78,5479.61,477592,487869,0.98,56.05,159.27,3.68,False,False,True,False,True,True,False,False,False,weak,3,watch,2026-03-23T11:58:39.853361+00:00,risk_off,2,weak,1.05,False,False,True,1,veto,low_liquidity,2026-03-23T11:58:57.487572+00:00
COST,Costco,972.33,995.31,1010.79,1018.48,2621555,1894042,1.38,37.13,18.24,1.88,False,True,False,True,False,True,False,False,False,weak,3,watch,2026-03-23T11:58:41.305996+00:00,risk_off,2,weak,-2.31,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
CRWD,CrowdStrike,409.0,409.1,442.03,476.66,7624854,5183377,1.47,60.53,18.74,4.58,False,False,False,True,True,True,False,False,False,weak,3,watch,2026-03-23T11:58:46.909275+00:00,risk_off,2,weak,-0.02,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
DDOG,Datadog,125.08,120.38,131.26,140.56,10452986,5402854,1.93,66.16,6.3,5.04,False,False,True,True,True,False,False,False,False,weak,3,watch,2026-03-23T11:58:41.974724+00:00,risk_off,2,weak,3.9,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
PFE,Pfizer,26.97,27.03,27.65,27.73,62061436,41240916,1.5,46.51,0.67,2.49,False,True,False,True,False,True,False,False,False,weak,3,watch,2026-03-23T11:58:36.577879+00:00,risk_off,2,weak,-0.22,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
PLTR,Palantir,150.68,147.64,157.16,179.41,48700189,49706904,0.98,57.19,6.14,4.08,False,False,True,False,True,True,False,False,False,weak,3,watch,2026-03-23T11:58:45.127178+00:00,risk_off,2,weak,2.06,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
VZ,Verizon,49.98,50.33,51.38,51.38,52812122,27136311,1.95,50.0,1.04,2.07,False,True,False,True,False,True,False,False,False,weak,3,watch,2026-03-23T11:58:36.971302+00:00,risk_off,2,weak,-0.7,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
ABBV,AbbVie,205.07,224.82,236.19,236.19,27365741,7420712,3.69,12.32,6.1,2.98,False,False,False,True,False,True,False,False,False,weak,2,weak,2026-03-23T11:58:46.601250+00:00,risk_off,1,weak,-8.78,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
AMD,Advanced Micro Devices,201.33,200.48,213.84,259.68,32666718,34864825,0.94,51.97,8.55,4.25,False,False,True,False,False,True,False,False,False,weak,2,weak,2026-03-23T11:58:39.447378+00:00,risk_off,1,weak,0.42,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
CAT,Caterpillar,680.88,718.46,768.23,775.0,4955787,2853444,1.74,30.0,26.61,3.91,False,False,False,True,False,True,False,False,False,weak,2,weak,2026-03-23T11:58:40.256401+00:00,risk_off,1,weak,-5.23,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
CMCSA,Comcast,29.02,30.66,32.09,32.48,246107119,37798695,6.51,35.67,0.92,3.18,False,False,False,True,False,True,False,False,False,weak,2,weak,2026-03-23T11:58:40.620109+00:00,risk_off,1,weak,-5.35,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
COIN,Coinbase,197.5,192.13,210.23,255.86,11875764,13063688,0.91,57.17,12.38,6.27,False,False,True,False,True,False,False,False,False,weak,2,weak,2026-03-23T11:58:40.919292+00:00,risk_off,1,weak,2.79,True,False,False,1,veto,high_atr,2026-03-23T11:58:57.487572+00:00
CRM,Salesforce,195.38,194.67,202.11,260.53,11636617,14427525,0.81,52.69,7.6,3.89,False,False,True,False,False,True,False,False,False,weak,2,weak,2026-03-23T11:58:41.667457+00:00,risk_off,1,weak,0.36,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
CSCO,Cisco,77.65,78.52,80.87,86.78,90380827,24341486,3.71,43.79,1.96,2.52,False,False,False,True,False,True,False,False,False,weak,2,weak,2026-03-23T11:58:47.255292+00:00,risk_off,1,weak,-1.11,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
DAL,Delta Air Lines,63.44,63.39,70.51,75.15,12358026,14385551,0.86,48.06,2.96,4.66,False,False,True,False,False,True,False,False,False,weak,2,weak,2026-03-23T11:58:47.567281+00:00,risk_off,1,weak,0.08,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
DE,Deere,559.73,600.17,646.84,662.49,2680301,1488580,1.8,13.24,15.74,2.81,False,False,False,True,False,True,False,False,False,weak,2,weak,2026-03-23T11:58:42.335347+00:00,risk_off,1,weak,-6.74,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
DOCU,DocuSign,47.23,46.59,48.9,69.8,5886385,5893324,1.0,55.18,2.4,5.09,False,False,True,False,True,False,False,False,False,weak,2,weak,2026-03-23T11:58:42.636032+00:00,risk_off,1,weak,1.37,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
HIMS,Hims & Hers Health,22.02,19.83,25.88,33.87,27396887,50101654,0.55,63.65,2.5,11.36,False,False,True,False,True,False,False,False,False,weak,2,weak,2026-03-23T11:58:48.377224+00:00,risk_off,1,weak,11.04,True,True,False,2,veto,"high_atr,overextended",2026-03-23T11:58:57.487572+00:00
HON,Honeywell,221.5,237.6,248.04,248.04,8098408,3977150,2.04,19.59,6.27,2.83,False,False,False,True,False,True,False,False,False,weak,2,weak,2026-03-23T11:58:43.010329+00:00,risk_off,1,weak,-6.78,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
JNJ,Johnson & Johnson,235.37,242.65,248.56,248.56,17149592,8407769,2.04,23.96,4.44,1.89,False,False,False,True,False,True,False,False,False,weak,2,weak,2026-03-23T11:58:37.396927+00:00,risk_off,1,weak,-3.0,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
KO,Coca-Cola,74.75,77.9,81.0,81.0,33278109,17682930,1.88,19.58,1.31,1.75,False,False,False,True,False,True,False,False,False,weak,2,weak,2026-03-23T11:58:43.391813+00:00,risk_off,1,weak,-4.04,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
LMT,Lockheed Martin,627.43,652.16,676.7,676.7,6462676,1910723,3.38,25.71,16.79,2.68,False,False,False,True,False,True,False,False,False,weak,2,weak,2026-03-23T11:58:37.787389+00:00,risk_off,1,weak,-3.79,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
MAR,Marriott International,319.76,330.52,350.57,359.25,3151169,1650623,1.91,41.66,10.05,3.14,False,False,False,True,False,True,False,False,False,weak,2,weak,2026-03-23T11:58:43.735296+00:00,risk_off,1,weak,-3.26,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
MCD,McDonald's,308.85,327.04,339.17,339.17,4230380,3119379,1.36,16.78,5.5,1.78,False,False,False,True,False,True,False,False,False,weak,2,weak,2026-03-23T11:58:49.470455+00:00,risk_off,1,weak,-5.56,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
MU,Micron Technology,422.88,416.57,461.73,461.73,64224943,38533267,1.67,52.11,27.23,6.44,False,False,True,True,False,False,False,False,False,weak,2,weak,2026-03-23T11:58:38.138073+00:00,risk_off,1,weak,1.51,True,False,False,1,veto,high_atr,2026-03-23T11:58:57.487572+00:00
NOC,Northrop Grumman,706.95,733.03,768.02,768.02,1647899,895964,1.84,21.1,17.81,2.52,False,False,False,True,False,True,False,False,False,weak,2,weak,2026-03-23T11:58:38.811318+00:00,risk_off,1,weak,-3.56,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
PEP,PepsiCo,150.04,160.95,168.24,168.98,14480711,6687330,2.17,14.67,3.25,2.17,False,False,False,True,False,True,False,False,False,weak,2,weak,2026-03-23T11:58:44.812658+00:00,risk_off,1,weak,-6.78,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
PYPL,PayPal,44.01,45.64,47.64,58.09,31695541,26360642,1.2,42.89,1.48,3.36,False,False,False,True,False,True,False,False,False,weak,2,weak,2026-03-23T11:58:50.216761+00:00,risk_off,1,weak,-3.57,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
RTX,RTX,198.16,204.03,212.16,212.16,8165973,6727478,1.21,32.24,5.88,2.97,False,False,False,True,False,True,False,False,False,weak,2,weak,2026-03-23T11:58:45.580189+00:00,risk_off,1,weak,-2.88,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
SBUX,Starbucks,92.55,97.57,101.44,101.44,12852841,8312682,1.55,39.51,2.98,3.22,False,False,False,True,False,True,False,False,False,weak,2,weak,2026-03-23T11:58:45.899214+00:00,risk_off,1,weak,-5.15,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
TXN,Texas Instruments,187.19,200.3,219.86,226.56,15025199,6909344,2.17,23.26,5.65,3.02,False,False,False,True,False,True,False,False,False,weak,2,weak,2026-03-23T11:58:50.913237+00:00,risk_off,1,weak,-6.55,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
WMT,Walmart,119.02,124.68,127.69,133.62,57545642,22001777,2.62,29.53,2.84,2.39,False,False,False,True,False,True,False,False,False,weak,2,weak,2026-03-23T11:58:46.272303+00:00,risk_off,1,weak,-4.54,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
ABNB,Airbnb,128.52,131.41,136.97,140.07,4904580,4478719,1.1,40.58,4.32,3.36,False,False,False,False,False,True,False,False,False,weak,1,weak,2026-03-23T11:58:39.118394+00:00,risk_off,0,weak,-2.2,False,False,False,0,veto,clear,2026-03-23T11:58:57.487572+00:00
