ticker,name,latest_close,ma20,ma50,return_20d_pct,return_60d_pct,volatility_20d_pct,above_ma20,above_ma50,ma20_above_ma50,positive_20d_return,positive_60d_return,acceptable_volatility,score,lead_status,checked_at
AMAT,Applied Materials,346.18,359.03,332.89,-2.34,33.91,3.13,False,True,True,False,True,True,4,watch,2026-03-17T11:05:19.176343+00:00
ARM,Arm Holdings,121.7,123.15,117.38,-2.86,0.5,2.69,False,True,True,False,True,True,4,watch,2026-03-17T11:05:44.971042+00:00
CAT,Caterpillar,699.78,732.05,691.13,-9.61,19.1,1.95,False,True,True,False,True,True,4,watch,2026-03-17T11:05:30.375180+00:00
CMCSA,Comcast,30.34,31.12,30.05,-3.9,10.17,1.37,False,True,True,False,True,True,4,watch,2026-03-17T11:05:34.089507+00:00
DE,Deere,572.48,612.47,562.88,-5.05,18.34,3.09,False,True,True,False,True,True,4,watch,2026-03-17T11:05:30.790207+00:00
HON,Honeywell,234.51,240.19,228.33,-2.36,18.87,1.32,False,True,True,False,True,True,4,watch,2026-03-17T11:05:32.072296+00:00
KO,Coca-Cola,77.82,78.48,75.1,-0.41,11.35,0.91,False,True,True,False,True,True,4,watch,2026-03-17T11:05:35.360988+00:00
LMT,Lockheed Martin,645.2,655.51,612.27,-0.61,35.96,1.64,False,True,True,False,True,True,4,watch,2026-03-17T11:05:32.503215+00:00
PEP,PepsiCo,157.72,162.81,155.28,-4.1,5.83,1.22,False,True,True,False,True,True,4,watch,2026-03-17T11:05:35.770492+00:00
PFE,Pfizer,26.61,26.99,26.35,-3.52,5.98,1.22,False,True,True,False,True,True,4,watch,2026-03-17T11:05:28.271602+00:00
T,AT&T,27.73,28.06,26.29,-3.35,16.56,1.62,False,True,True,False,True,True,4,watch,2026-03-17T11:05:34.551650+00:00
ABNB,Airbnb,128.32,130.4,130.26,5.74,-2.8,2.32,False,False,True,True,False,True,3,watch,2026-03-17T11:05:39.189799+00:00
AMZN,Amazon,211.74,209.94,222.92,6.51,-4.86,1.65,True,False,False,True,False,True,3,watch,2026-03-17T11:05:14.585003+00:00
BKNG,Booking Holdings,4293.02,4230.03,4663.83,3.92,-20.86,3.32,True,False,False,True,False,True,3,watch,2026-03-17T11:05:38.851240+00:00
COIN,Coinbase,203.32,184.85,199.23,23.73,-19.51,5.21,True,True,False,True,False,False,3,watch,2026-03-17T11:05:23.604526+00:00
